time;time;;;;;;;;;;;;
581;538;;;;;;;;;;;;
594;542;;;;;;;;;;;;
595;547;;;;;;;;;;;;
591;535;;;;;;;;;;;;
590;548;;;;;;;;;;;;
595;535;;;;;;;;;;;;
596,1388889;539,5277778;;;;;;;;;;;;
592;537;;;;;;;;;;;;
591;533;;;;;;;;;;;;
592;534;;;;;;;;;;;;
593;534;;;;;;;;;;;;
633;552;;;;;;;;;;;;
592;534;;;;;;;;;;;;
581;539;;;;;;;;;;;;
583;535;;;;;;;;;;;;
582;546;;;;;;;;;;;;
594;536;;;;;;;;;;;;
581;540;;;;;;;;;;;;
596;546;;;;;;;;;;;;
618;538;;;;;;;;;;;;
593;531;;;;;;;;;;;;
595;544;;;;;;;;;;;;
595;522;;;;;;;;;;;;
598;539;;;;;;;;;;;;
625;543;;;;;;;;;;;;
608;541;;;;;;;;;;;;
590;540;;;;;;;;;;;;
580;538;;;;;;;;;;;;
579;536;;;;;;;;;;;;
591;563;;;;;;;;;;;;
594,8695652;539,173913;;;;;;;;;;;;
588;540;;;;;;;;;;;;
592;588;;;;;;;;;;;;
594;524;;;;;;;;;;;;
594;538;;;;;;;;;;;;
579;531;;;;;;;;;;;;
595;563;;;;;;;;;;;;
593;532;;;;;;;;;;;;
592;532;;;;;;;;;;;;
596;534;;;;;;;;;;;;
592;543;;;;;;;;;;;;
582;531;;;;;;;;;;;;
580;531;;;;;;;;;;;;
582;532;;;;;;;;;;;;
596;537;;;;;;;;;;;;
594;587;;;;;;;;;;;;
594;532;;;;;;;;;;;;
580;557;;;;;;;;;;;;
590;536;;;;;;;;;;;;
594;556;;;;;;;;;;;;
595;531;;;;;;;;;;;;
594;543;;;;;;;;;;;;
595;534;;;;;;;;;;;;
592;568;;;;;;;;;;;;
593;552;;;;;;;;;;;;
594;534;;;;;;;;;;;;
596;535;;;;;;;;;;;;
592;536;;;;;;;;;;;;
596;534;;;;;;;;;;;;
596;558;;;;;;;;;;;;
582;534;;;;;;;;;;;;
594;534;;;;;;;;;;;;
582;531;;;;;;;;;;;;
590;534;;;;;;;;;;;;
594;542;;;;;;;;;;;;
593;534;;;;;;;;;;;;
581;559;;;;;;;;;;;;
590,7222222;542,1388889;;;;;;;;;;;;
1144;540;;;;;;;;;;;;
593;544;;;;;;;;;;;;
582;527;;;;;;;;;;;;
584;554;;;;;;;;;;;;
592;537;;;;;;;;;;;;
594;561;;;;;;;;;;;;
596;544;;;;;;;;;;;;
597;544;;;;;;;;;;;;
595;561;;;;;;;;;;;;
591;536;;;;;;;;;;;;
595;534;;;;;;;;;;;;
593;561;;;;;;;;;;;;
594;549;;;;;;;;;;;;
581;527;;;;;;;;;;;;
593;551;;;;;;;;;;;;
593;544;;;;;;;;;;;;
592;556;;;;;;;;;;;;
582;558;;;;;;;;;;;;
591;537;;;;;;;;;;;;
594;575;;;;;;;;;;;;
593;544;;;;;;;;;;;;
594;539;;;;;;;;;;;;
594;542;;;;;;;;;;;;
596;534;;;;;;;;;;;;
595;557;;;;;;;;;;;;
594;540;;;;;;;;;;;;
594;550;;;;;;;;;;;;
612,4444444;546,1481481;;;;;;;;;;;;
587;537;;;;;;;;;;;;
592;536;;;;;;;;;;;;
592;538;;;;;;;;;;;;
595;545;;;;;;;;;;;;
579;538;;;;;;;;;;;;
618;537;;;;;;;;;;;;
583;536;;;;;;;;;;;;
592,2857143;538,1428571;;;;;;;;;;;;
584;539;;;;;;;;;;;;
593;533;;;;;;;;;;;;
594;534;;;;;;;;;;;;
596;531;;;;;;;;;;;;
581;540;;;;;;;;;;;;
595;532;;;;;;;;;;;;
583;550;;;;;;;;;;;;
633;556;;;;;;;;;;;;
589;539;;;;;;;;;;;;
590;533;;;;;;;;;;;;
590;535;;;;;;;;;;;;
596;543;;;;;;;;;;;;
589;537;;;;;;;;;;;;
594;539;;;;;;;;;;;;
594;536;;;;;;;;;;;;
595;546;;;;;;;;;;;;
597;535;;;;;;;;;;;;
593,7058824;538,7058824;;;;;;;;;;;;
593;524;;;;;;;;;;;;
582;527;;;;;;;;;;;;
596;557;;;;;;;;;;;;
597;533;;;;;;;;;;;;
592;564;;;;;;;;;;;;
593;532;;;;;;;;;;;;
706;548;;;;;;;;;;;;
593;533;;;;;;;;;;;;
590;560;;;;;;;;;;;;
592;538;;;;;;;;;;;;
593;532;;;;;;;;;;;;
596;527;;;;;;;;;;;;
593;535;;;;;;;;;;;;
584;534;;;;;;;;;;;;
644;542;;;;;;;;;;;;
596;533;;;;;;;;;;;;
595;533;;;;;;;;;;;;
593;527;;;;;;;;;;;;
595;535;;;;;;;;;;;;
595;536;;;;;;;;;;;;
592;538;;;;;;;;;;;;
594;538;;;;;;;;;;;;
594;532;;;;;;;;;;;;
602;528;;;;;;;;;;;;
593;534;;;;;;;;;;;;
581;530;;;;;;;;;;;;
593;528;;;;;;;;;;;;
595;535;;;;;;;;;;;;
593;532;;;;;;;;;;;;
591;529;;;;;;;;;;;;
581;559;;;;;;;;;;;;
596;533;;;;;;;;;;;;
594;527;;;;;;;;;;;;
595;534;;;;;;;;;;;;
595;531;;;;;;;;;;;;
581;533;;;;;;;;;;;;
583;542;;;;;;;;;;;;
594;531;;;;;;;;;;;;
593;535;;;;;;;;;;;;
597;527;;;;;;;;;;;;
593;547;;;;;;;;;;;;
592;531;;;;;;;;;;;;
594;552;;;;;;;;;;;;
594;532;;;;;;;;;;;;
593;541;;;;;;;;;;;;
593;532;;;;;;;;;;;;
596;533;;;;;;;;;;;;
593;532;;;;;;;;;;;;
592;533;;;;;;;;;;;;
598;531;;;;;;;;;;;;
594;535;;;;;;;;;;;;
591;548;;;;;;;;;;;;
581;546;;;;;;;;;;;;
598;536;;;;;;;;;;;;
595,5;536,2037037;;;;;;;;;;;;
592;554;;;;;;;;;;;;
593;535;;;;;;;;;;;;
595;535;;;;;;;;;;;;
580;544;;;;;;;;;;;;
585;534;;;;;;;;;;;;
591;537;;;;;;;;;;;;
582;561;;;;;;;;;;;;
595;563;;;;;;;;;;;;
582;538;;;;;;;;;;;;
592;536;;;;;;;;;;;;
598;558;;;;;;;;;;;;
596;534;;;;;;;;;;;;
592;554;;;;;;;;;;;;
595;559;;;;;;;;;;;;
594;548;;;;;;;;;;;;
582;538;;;;;;;;;;;;
595;553;;;;;;;;;;;;
629;540;;;;;;;;;;;;
596;551;;;;;;;;;;;;
596;546;;;;;;;;;;;;
593;557;;;;;;;;;;;;
593;537;;;;;;;;;;;;
594;539;;;;;;;;;;;;
581;543;;;;;;;;;;;;
577;539;;;;;;;;;;;;
592;557;;;;;;;;;;;;
590;533;;;;;;;;;;;;
594;553;;;;;;;;;;;;
595;537;;;;;;;;;;;;
594;536;;;;;;;;;;;;
593;559;;;;;;;;;;;;
594;559;;;;;;;;;;;;
594;542;;;;;;;;;;;;
596;558;;;;;;;;;;;;
593;536;;;;;;;;;;;;
593;551;;;;;;;;;;;;
594;539;;;;;;;;;;;;
592;559;;;;;;;;;;;;
592,4210526;546,1052632;;;;;;;;;;;;
583;533;;;;;;;;;;;;
582;537;;;;;;;;;;;;
593;535;;;;;;;;;;;;
594;526;;;;;;;;;;;;
592;536;;;;;;;;;;;;
578;556;;;;;;;;;;;;
590;535;;;;;;;;;;;;
598;525;;;;;;;;;;;;
588,75;535,375;;;;;;;;;;;;
3450;4153;;;;;;;;;;;;
234;224;;;;;;;;;;;;
238;183;;;;;;;;;;;;
186;223;;;;;;;;;;;;
217;209;;;;;;;;;;;;
191;207;;;;;;;;;;;;
173;206;;;;;;;;;;;;
217;191;;;;;;;;;;;;
157;174;;;;;;;;;;;;
170;194;;;;;;;;;;;;
211;183;;;;;;;;;;;;
191;165;;;;;;;;;;;;
173;201;;;;;;;;;;;;
